Vorname,Anzahl,Geschlecht
Annouk,4,w
Antara,4,w
Antea,4,w
Anthea,4,w
Antonie,4,w
Anuk,4,w
Anvika,4,w
Anya,4,w
Apollonia,4,w
Aqdas,4,w
Arabelle,4,w
Aravi,4,w
Aray,4,w
Arba,4,w
Ardiana,4,w
Areeba,4,w
Areebah,4,w
Arela,4,w
Aretha,4,w
Areti,4,w
Ari,4,w
Ariadni,4,w
Ariana-Maria,4,w
Ariane,4,w
Arianna,4,w
Arianthi-Sousana,4,w
Ariella,4,w
Arielle,4,w
Arielle-Ruth,4,w
Arijana,4,w
Arika,4,w
Arin,4,w
Arina,4,w
Armina,4,w
Arnisa,4,w
Aroa,4,w
Arsema,4,w
Arta,4,w
Artista,4,w
Arunita,4,w
Arwa,4,w
Aryana,4,w
Asel,4,w
Asena,4,w
Asenat,4,w
Ashanti,4,w
Ashlesha,4,w
Ashley,4,w
Asia,4,w
Asiri,4,w
Asiya,4,w
Asja,4,w
Asma,4,w
Asra,4,w
Assena,4,w
Astha,4,w
Astira,4,w
Astrid,4,w
Athanasia,4,w
Atina,4,w
Audrey,4,w
Aulona,4,w
Aura,4,w
Aurélie,4,w
Aureliya,4,w
Auri,4,w
Ava-Victoria,4,w
Avan,4,w
Avelina,4,w
Avgi,4,w
Avika,4,w
Avin,4,w
Axelle,4,w
Aya,4,w
Ayalga,4,w
Ayano,4,w
Ayat,4,w
Ayça,4,w
Ayleen,4,w
Aylina,4,w
Ayliva,4,w
Ayliz,4,w
Aymara,4,w
Ayperi,4,w
Ayra,4,w
Aysha,4,w
Ayshe,4,w
Aysu,4,w
Aysun,4,w
Azal,4,w
Azhara,4,w
Aziza,4,w
Azzurra,4,w
Bảo,4,w
Baani,4,w
Bahar,4,w
Bahara,4,w
Banu,4,w
Bao,4,w
Baraa,4,w
Barbara,4,w
Beatriz,4,w
Behlin,4,w
Bella,4,w
Belle-Louise,4,w
Beril,4,w
Berinay,4,w
Berra,4,w
Berta,4,w
Besa,4,w
Betel,4,w
Bethel,4,w
Beya,4,w
Beyza,4,w
Bia,4,w
Bianca,4,w
Bibisora,4,w
Bilge,4,w
Bina,4,w
Bishaaro,4,w
Blanca,4,w
Blanka,4,w
Blina,4,w
Bobbie,4,w
Bogdana,4,w
Bonnie,4,w
Bora,4,w
Borislava,4,w
Branka,4,w
Bridgett,4,w
Brigitta,4,w
Briseis,4,w
Bruna,4,w
Brunhilde,4,w
Buchura,4,w
Bùi,4,w
Buna,4,w
Bushra,4,w
Caja,4,w
Calina,4,w
Camille,4,w
Cardi,4,w
Carina,4,w
Carlie,4,w
Carline,4,w
Carmen,4,w
Carola,4,w
Carolin,4,w
Carolina,4,w
Caroline,4,w
Casilda,4,w
Cataleya-Maria,4,w
Caya,4,w
Cecília,4,w
Celest,4,w
Celeste,4,w
